"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Epp13",0,0.065217,FALSE
"Gm3854",0,0.114574,FALSE
"Olfr1344",0,0.134454,FALSE
"Olfr1336",0,0.092437,FALSE
"Olfr1346",0,0.07563,FALSE
"Olfr5",0,0.083333,FALSE
"Olfr1347",0,0.011494,FALSE
"Olfr1348",0,0.042017,FALSE
"Olfr1349",0,0.043478,FALSE
"Olfr1350",0,0.034483,FALSE
"Gm29638",0,0.011457,FALSE
"Pnmal2",15,2.660644,TRUE
"Pnmal1",6,0.506289,TRUE
"Gm42372",0,0.076105,FALSE
"Gm5155",0,0.005181,FALSE
"Gm4969",3,0.472081,TRUE
"Gm44698",0,0.001835,FALSE
"Cd3eap",0,0.166667,FALSE
"Gm20512",0,0.090406,FALSE
"Gm16174",0,0.109244,FALSE
"Gm44658",0,0.004583,FALSE
"AC159140.1",0,0.041667,FALSE
"Irgc1",52,1.606906,TRUE
"Gm9844",0,0.10084,FALSE
"Gm4881",0,0.02521,FALSE
"BC024978",0,0.218487,FALSE
"9530053A07Rik",0,0.006289,FALSE
"Gm44702",0,0.022013,FALSE
"Gm29326",0,0.006684,FALSE
"Thap8",0,0.215686,FALSE
"E130208F15Rik",0,0.033613,FALSE
"Gm26935",0,0.066667,FALSE
"Gm10640",0,0.065217,FALSE
"4931406P16Rik",31,2.066667,TRUE
"AC150683.1",17,8.235294,TRUE
"Gm28514",0,0.011494,FALSE
"Gm28078",0,0.02812,FALSE
"Gm29087",10,0.613445,TRUE
"Gm37494",2,0.416667,TRUE
"Gm45839",0,0.041667,FALSE
"4930558N11Rik",0,0.142857,FALSE
"Gm44748",17,3.252101,TRUE
"Gm34811",0,0.027211,FALSE
"Vmn2r126",0,0.154088,FALSE
"4931406B18Rik",4,0.764706,TRUE
"Gm2511",2,0.87395,TRUE
"Fam71e1",42,1.649446,TRUE
"Ccdc155",17,1.991597,TRUE
"AC151602.1",0,0.083333,FALSE
"Ccdc114",12,1.806723,TRUE
"C86187",0,0.067227,FALSE
"Gm9999",50,2.755644,TRUE
"1700015G11Rik",11,0.946494,TRUE
"Gm44643",0,0.008403,FALSE
"A26c2",10,4.512605,TRUE
"Fam189a1",4,0.714286,TRUE
"Tarsl2",0,0.133333,FALSE
"Gm10974",0,0.230769,FALSE
"Gm16157",0,0.068966,FALSE
"Gm39033",0,0.050314,FALSE
"1810026B05Rik",0,0.211454,FALSE
"Gm10160",0,0.005076,FALSE
"Gm2115",0,0.025368,FALSE
"Olfr291",0,0.002353,FALSE
"Olfr290",0,0.002268,FALSE
"Olfr310",0,0.008403,FALSE
"Olfr309",0,0.008403,FALSE
"Olfr308",0,0.032997,FALSE
"Olfr307",0,0.022915,FALSE
"Olfr305",0,0.007333,FALSE
"Olfr303",0,0.018519,FALSE
"Olfr301",0,0.007855,FALSE
"Olfr299",0,0.006684,FALSE
"Gm15416",0,0.001835,FALSE
"Olfr520",0,0.003984,FALSE
"Olfr521",0,0.012302,FALSE
"Gm20476",0,0.099608,FALSE
"Olfr543",2,0.260504,TRUE
"Olfr544",0,0.134454,FALSE
"Olfr545",2,0.831933,TRUE
"Olfr552",0,0.016807,FALSE
"Olfr553",0,0.003137,FALSE
"Olfr554",0,0.014902,FALSE
"Olfr556",0,0.066667,FALSE
"Olfr558",0,0.001571,FALSE
"Olfr568",0,0.002247,FALSE
"Olfr569",0,0.004011,FALSE
"Olfr570",0,0.005076,FALSE
"Olfr592",0,0.002674,FALSE
"Olfr616",0,0.005076,FALSE
"Olfr617",0,0.006349,FALSE
"Olfr618",0,0.00463,FALSE
"Olfr622",0,0.008627,FALSE
"Olfr624",0,0.001835,FALSE
"Olfr66",0,0.002674,FALSE
"Olfr65",0,0.002353,FALSE
"Olfr632",0,0.000784,FALSE
"Olfr633",0,0.00367,FALSE
"Olfr635",0,0.003175,FALSE
"Olfr638",0,0.001569,FALSE
"Olfr639",0,0.006349,FALSE
"Olfr640",0,0.009524,FALSE
"Olfr641",0,0.008627,FALSE
"Olfr642",0,0.011494,FALSE
"Olfr644",0,0.019048,FALSE
"Olfr645",0,0.006349,FALSE
"Olfr646",0,0.012698,FALSE
"Olfr648",0,0.002217,FALSE
"Olfr649",0,0.001569,FALSE
"Olfr652",0,0.03451,FALSE
"Olfr653",0,0.013333,FALSE
"Olfr654",0,0.00549,FALSE
"Olfr655",0,0.016807,FALSE
"Olfr656",0,0.003137,FALSE
"Olfr657",0,0.011765,FALSE
"Olfr658",0,0.004011,FALSE
"Olfr659",0,0.003175,FALSE
"Olfr678",0,0.007843,FALSE
"Olfr679",0,0.012549,FALSE
"Olfr681",0,0.013333,FALSE
